,Z,W
319,103.19,8.95
320,103.20,8.97
321,103.21,8.99
322,103.22,9.00
323,103.23,9.02
324,103.24,9.04
325,103.25,9.05
326,103.26,9.07
327,103.27,9.09
328,103.28,9.10
329,103.29,9.12
330,103.30,9.14
331,103.31,9.15
332,103.32,9.17
333,103.33,9.19
334,103.34,9.20
335,103.35,9.22
336,103.36,9.24
337,103.37,9.25
338,103.38,9.27
339,103.39,9.29
340,103.40,9.30
341,103.41,9.32
342,103.42,9.34
343,103.43,9.35
344,103.44,9.37
345,103.45,9.39
346,103.46,9.40
347,103.47,9.42
348,103.48,9.44
349,103.49,9.45
350,103.50,9.47
351,103.51,9.49
352,103.52,9.51
353,103.53,9.52
354,103.54,9.54
355,103.55,9.56
356,103.56,9.57
357,103.57,9.59
358,103.58,9.61
359,103.59,9.63
360,103.60,9.64
361,103.61,9.66
362,103.62,9.68
363,103.63,9.69
364,103.64,9.71
365,103.65,9.73
366,103.66,9.75
367,103.67,9.76
368,103.68,9.78
369,103.69,9.80
370,103.70,9.82
371,103.71,9.83
372,103.72,9.85
373,103.73,9.87
374,103.74,9.89
375,103.75,9.90
376,103.76,9.92
377,103.77,9.94
378,103.78,9.96
379,103.79,9.97
380,103.80,9.99
381,103.81,10.01
382,103.82,10.03
383,103.83,10.04
384,103.84,10.06
385,103.85,10.08
386,103.86,10.10
387,103.87,10.12
388,103.88,10.13
389,103.89,10.15
390,103.90,10.17
391,103.91,10.19
392,103.92,10.20
393,103.93,10.22
394,103.94,10.24
395,103.95,10.26
396,103.96,10.28
397,103.97,10.29
398,103.98,10.31
399,103.99,10.33
400,104.00,10.35
401,104.01,10.37
402,104.02,10.38
403,104.03,10.40
404,104.04,10.42
405,104.05,10.44
406,104.06,10.46
407,104.07,10.48
408,104.08,10.49
409,104.09,10.51
410,104.10,10.53
411,104.11,10.55
412,104.12,10.57
413,104.13,10.58
414,104.14,10.60
415,104.15,10.62
416,104.16,10.64
417,104.17,10.66
418,104.18,10.68
419,104.19,10.70
420,104.20,10.71
421,104.21,10.73
422,104.22,10.75
423,104.23,10.77
424,104.24,10.79
425,104.25,10.81
426,104.26,10.83
427,104.27,10.84
428,104.28,10.86
429,104.29,10.88
430,104.30,10.90
431,104.31,10.92
432,104.32,10.94
433,104.33,10.96
434,104.34,10.97
435,104.35,10.99
436,104.36,11.01
437,104.37,11.03
438,104.38,11.05
439,104.39,11.07
440,104.40,11.09
441,104.41,11.11
442,104.42,11.13
443,104.43,11.14
444,104.44,11.16
445,104.45,11.18
446,104.46,11.20
447,104.47,11.22
448,104.48,11.24
449,104.49,11.26
450,104.50,11.28
451,104.51,11.30
452,104.52,11.32
453,104.53,11.34
454,104.54,11.35
455,104.55,11.37
456,104.56,11.39
457,104.57,11.41
458,104.58,11.43
459,104.59,11.45
460,104.60,11.47
461,104.61,11.49
462,104.62,11.51
463,104.63,11.53
464,104.64,11.55
465,104.65,11.57
466,104.66,11.59
467,104.67,11.61
468,104.68,11.63
469,104.69,11.64
470,104.70,11.66
471,104.71,11.68
472,104.72,11.70
473,104.73,11.72
474,104.74,11.74
475,104.75,11.76
476,104.76,11.78
477,104.77,11.80
478,104.78,11.82
479,104.79,11.84
480,104.80,11.86
481,104.81,11.88
482,104.82,11.90
483,104.83,11.92
484,104.84,11.94
485,104.85,11.96
486,104.86,11.98
487,104.87,12.00
488,104.88,12.02
489,104.89,12.04
490,104.90,12.06
491,104.91,12.08
492,104.92,12.10
493,104.93,12.12
494,104.94,12.14
495,104.95,12.16
496,104.96,12.18
497,104.97,12.20
498,104.98,12.22
499,104.99,12.24
500,105.00,12.26
501,105.01,12.28
502,105.02,12.30
503,105.03,12.32
504,105.04,12.34
505,105.05,12.36
506,105.06,12.38
507,105.07,12.40
508,105.08,12.42
509,105.09,12.44
510,105.10,12.46
511,105.11,12.48
512,105.12,12.50
513,105.13,12.52
514,105.14,12.54
515,105.15,12.56
516,105.16,12.59
517,105.17,12.61
518,105.18,12.63
519,105.19,12.65
520,105.20,12.67
521,105.21,12.69
522,105.22,12.71
523,105.23,12.73
524,105.24,12.75
525,105.25,12.77
526,105.26,12.79
527,105.27,12.81
528,105.28,12.83
529,105.29,12.85
530,105.30,12.87
531,105.31,12.90
532,105.32,12.92
533,105.33,12.94
534,105.34,12.96
535,105.35,12.98
536,105.36,13.00
537,105.37,13.02
538,105.38,13.04
539,105.39,13.06
540,105.40,13.08
541,105.41,13.10
542,105.42,13.13
543,105.43,13.15
544,105.44,13.17
545,105.45,13.19
546,105.46,13.21
547,105.47,13.23
548,105.48,13.25
549,105.49,13.27
550,105.50,13.29
551,105.51,13.32
552,105.52,13.34
553,105.53,13.36
554,105.54,13.38
555,105.55,13.40
556,105.56,13.42
557,105.57,13.44
558,105.58,13.47
559,105.59,13.49
560,105.60,13.51
561,105.61,13.53
562,105.62,13.55
563,105.63,13.57
564,105.64,13.59
565,105.65,13.62
566,105.66,13.64
567,105.67,13.66
568,105.68,13.68
569,105.69,13.70
570,105.70,13.72
571,105.71,13.75
572,105.72,13.77
573,105.73,13.79
574,105.74,13.81
575,105.75,13.83
576,105.76,13.85
577,105.77,13.88
578,105.78,13.90
579,105.79,13.92
580,105.80,13.94
581,105.81,13.96
582,105.82,13.98
583,105.83,14.01
584,105.84,14.03
585,105.85,14.05
586,105.86,14.07
587,105.87,14.09
588,105.88,14.12
589,105.89,14.14
590,105.90,14.16
591,105.91,14.18
592,105.92,14.20
593,105.93,14.23
594,105.94,14.25
595,105.95,14.27
596,105.96,14.29
597,105.97,14.32
598,105.98,14.34
599,105.99,14.36
600,106.00,14.38
601,106.01,14.40
602,106.02,14.43
603,106.03,14.45
604,106.04,14.47
605,106.05,14.49
606,106.06,14.52
607,106.07,14.54
608,106.08,14.56
609,106.09,14.58
610,106.10,14.61
611,106.11,14.63
612,106.12,14.65
613,106.13,14.67
614,106.14,14.70
615,106.15,14.72
616,106.16,14.74
617,106.17,14.76
618,106.18,14.79
619,106.19,14.81
620,106.20,14.83
621,106.21,14.86
622,106.22,14.88
623,106.23,14.90
624,106.24,14.92
625,106.25,14.95
626,106.26,14.97
627,106.27,14.99
628,106.28,15.01
629,106.29,15.04
630,106.30,15.06
631,106.31,15.08
632,106.32,15.11
633,106.33,15.13
634,106.34,15.15
635,106.35,15.18
636,106.36,15.20
637,106.37,15.22
638,106.38,15.24
639,106.39,15.27
640,106.40,15.29
641,106.41,15.31
642,106.42,15.34
643,106.43,15.36
644,106.44,15.38
645,106.45,15.41
646,106.46,15.43
647,106.47,15.45
648,106.48,15.48
649,106.49,15.50
650,106.50,15.52
651,106.51,15.55
652,106.52,15.57
653,106.53,15.59
654,106.54,15.62
655,106.55,15.64
656,106.56,15.66
657,106.57,15.69
658,106.58,15.71
659,106.59,15.73
660,106.60,15.76
661,106.61,15.78
662,106.62,15.80
663,106.63,15.83
664,106.64,15.85
665,106.65,15.88
666,106.66,15.90
667,106.67,15.92
668,106.68,15.95
669,106.69,15.97
670,106.70,15.99
671,106.71,16.02
672,106.72,16.04
673,106.73,16.07
674,106.74,16.09
675,106.75,16.11
676,106.76,16.14
677,106.77,16.16
678,106.78,16.18
679,106.79,16.21
680,106.80,16.23
681,106.81,16.26
682,106.82,16.28
683,106.83,16.30
684,106.84,16.33
685,106.85,16.35
