,Z,W
2698,126.98,105.87
2699,126.99,105.94
2700,127.00,106.00
2701,127.01,106.07
2702,127.02,106.13
2703,127.03,106.20
2704,127.04,106.26
2705,127.05,106.32
2706,127.06,106.39
2707,127.07,106.45
2708,127.08,106.52
2709,127.09,106.58
2710,127.10,106.65
2711,127.11,106.71
2712,127.12,106.78
2713,127.13,106.84
2714,127.14,106.91
2715,127.15,106.97
2716,127.16,107.04
2717,127.17,107.10
2718,127.18,107.17
2719,127.19,107.23
2720,127.20,107.30
2721,127.21,107.36
2722,127.22,107.43
2723,127.23,107.49
2724,127.24,107.56
2725,127.25,107.62
2726,127.26,107.69
2727,127.27,107.75
2728,127.28,107.82
2729,127.29,107.88
2730,127.30,107.95
2731,127.31,108.01
2732,127.32,108.08
2733,127.33,108.14
2734,127.34,108.21
2735,127.35,108.27
2736,127.36,108.34
2737,127.37,108.40
2738,127.38,108.47
2739,127.39,108.53
2740,127.40,108.60
2741,127.41,108.67
2742,127.42,108.73
2743,127.43,108.80
2744,127.44,108.86
2745,127.45,108.93
2746,127.46,108.99
2747,127.47,109.06
2748,127.48,109.12
2749,127.49,109.19
2750,127.50,109.26
2751,127.51,109.32
2752,127.52,109.39
2753,127.53,109.45
2754,127.54,109.52
2755,127.55,109.58
2756,127.56,109.65
2757,127.57,109.72
2758,127.58,109.78
2759,127.59,109.85
2760,127.60,109.91
2761,127.61,109.98
2762,127.62,110.05
2763,127.63,110.11
2764,127.64,110.18
2765,127.65,110.24
2766,127.66,110.31
2767,127.67,110.38
2768,127.68,110.44
2769,127.69,110.51
2770,127.70,110.57
2771,127.71,110.64
2772,127.72,110.71
2773,127.73,110.77
2774,127.74,110.84
2775,127.75,110.91
2776,127.76,110.97
2777,127.77,111.04
2778,127.78,111.10
2779,127.79,111.17
2780,127.80,111.24
2781,127.81,111.30
2782,127.82,111.37
2783,127.83,111.44
2784,127.84,111.50
2785,127.85,111.57
2786,127.86,111.64
2787,127.87,111.70
2788,127.88,111.77
2789,127.89,111.84
2790,127.90,111.90
2791,127.91,111.97
2792,127.92,112.04
2793,127.93,112.10
2794,127.94,112.17
2795,127.95,112.24
2796,127.96,112.30
2797,127.97,112.37
2798,127.98,112.44
2799,127.99,112.50
2800,128.00,112.57
2801,128.01,112.64
2802,128.02,112.70
2803,128.03,112.77
2804,128.04,112.84
2805,128.05,112.90
2806,128.06,112.97
2807,128.07,113.04
2808,128.08,113.11
2809,128.09,113.17
2810,128.10,113.24
2811,128.11,113.31
2812,128.12,113.37
2813,128.13,113.44
2814,128.14,113.51
2815,128.15,113.58
2816,128.16,113.64
2817,128.17,113.71
2818,128.18,113.78
2819,128.19,113.84
2820,128.20,113.91
2821,128.21,113.98
2822,128.22,114.05
2823,128.23,114.11
2824,128.24,114.18
2825,128.25,114.25
2826,128.26,114.32
2827,128.27,114.38
2828,128.28,114.45
2829,128.29,114.52
2830,128.30,114.59
2831,128.31,114.65
2832,128.32,114.72
2833,128.33,114.79
2834,128.34,114.86
2835,128.35,114.92
2836,128.36,114.99
2837,128.37,115.06
2838,128.38,115.13
2839,128.39,115.20
2840,128.40,115.26
2841,128.41,115.33
2842,128.42,115.40
2843,128.43,115.47
2844,128.44,115.53
2845,128.45,115.60
2846,128.46,115.67
2847,128.47,115.74
2848,128.48,115.81
2849,128.49,115.87
2850,128.50,115.94
2851,128.51,116.01
2852,128.52,116.08
2853,128.53,116.15
2854,128.54,116.21
2855,128.55,116.28
2856,128.56,116.35
2857,128.57,116.42
2858,128.58,116.49
2859,128.59,116.56
2860,128.60,116.62
2861,128.61,116.69
2862,128.62,116.76
2863,128.63,116.83
2864,128.64,116.90
2865,128.65,116.96
2866,128.66,117.03
2867,128.67,117.10
2868,128.68,117.17
2869,128.69,117.24
2870,128.70,117.31
2871,128.71,117.38
2872,128.72,117.44
2873,128.73,117.51
2874,128.74,117.58
2875,128.75,117.65
2876,128.76,117.72
2877,128.77,117.79
2878,128.78,117.85
2879,128.79,117.92
2880,128.80,117.99
2881,128.81,118.06
2882,128.82,118.13
2883,128.83,118.20
2884,128.84,118.27
2885,128.85,118.34
2886,128.86,118.40
2887,128.87,118.47
2888,128.88,118.54
2889,128.89,118.61
2890,128.90,118.68
2891,128.91,118.75
2892,128.92,118.82
2893,128.93,118.89
2894,128.94,118.96
2895,128.95,119.02
2896,128.96,119.09
2897,128.97,119.16
2898,128.98,119.23
2899,128.99,119.30
2900,129.00,119.37
2901,129.01,119.44
2902,129.02,119.51
2903,129.03,119.58
2904,129.04,119.65
2905,129.05,119.72
2906,129.06,119.78
2907,129.07,119.85
2908,129.08,119.92
2909,129.09,119.99
2910,129.10,120.06
2911,129.11,120.13
2912,129.12,120.20
2913,129.13,120.27
2914,129.14,120.34
2915,129.15,120.41
2916,129.16,120.48
2917,129.17,120.55
2918,129.18,120.62
2919,129.19,120.69
2920,129.20,120.76
2921,129.21,120.82
2922,129.22,120.89
2923,129.23,120.96
2924,129.24,121.03
2925,129.25,121.10
2926,129.26,121.17
2927,129.27,121.24
2928,129.28,121.31
2929,129.29,121.38
2930,129.30,121.45
2931,129.31,121.52
2932,129.32,121.59
2933,129.33,121.66
2934,129.34,121.73
2935,129.35,121.80
2936,129.36,121.87
2937,129.37,121.94
2938,129.38,122.01
2939,129.39,122.08
2940,129.40,122.15
2941,129.41,122.22
2942,129.42,122.29
2943,129.43,122.36
2944,129.44,122.43
2945,129.45,122.50
2946,129.46,122.57
2947,129.47,122.64
2948,129.48,122.71
2949,129.49,122.78
2950,129.50,122.85
2951,129.51,122.92
2952,129.52,122.99
2953,129.53,123.06
2954,129.54,123.13
2955,129.55,123.20
2956,129.56,123.27
2957,129.57,123.34
2958,129.58,123.41
2959,129.59,123.48
2960,129.60,123.55
2961,129.61,123.62
2962,129.62,123.69
2963,129.63,123.76
2964,129.64,123.83
2965,129.65,123.90
2966,129.66,123.97
2967,129.67,124.04
2968,129.68,124.11
2969,129.69,124.19
2970,129.70,124.26
2971,129.71,124.33
2972,129.72,124.40
2973,129.73,124.47
2974,129.74,124.54
2975,129.75,124.61
2976,129.76,124.68
2977,129.77,124.75
2978,129.78,124.82
2979,129.79,124.89
2980,129.80,124.96
2981,129.81,125.03
2982,129.82,125.10
2983,129.83,125.17
2984,129.84,125.24
2985,129.85,125.32
2986,129.86,125.39
2987,129.87,125.46
2988,129.88,125.53
2989,129.89,125.60
2990,129.90,125.67
2991,129.91,125.74
2992,129.92,125.81
2993,129.93,125.88
2994,129.94,125.95
2995,129.95,126.02
2996,129.96,126.10
2997,129.97,126.17
2998,129.98,126.24
2999,129.99,126.31
3000,130.00,126.38
3001,130.01,126.45
3002,130.02,126.52
3003,130.03,126.59
3004,130.04,126.66
3005,130.05,126.74
3006,130.06,126.81
3007,130.07,126.88
3008,130.08,126.95
3009,130.09,127.02
3010,130.10,127.09
3011,130.11,127.16
3012,130.12,127.23
3013,130.13,127.31
3014,130.14,127.38
3015,130.15,127.45
3016,130.16,127.52
3017,130.17,127.59
3018,130.18,127.66
3019,130.19,127.73
3020,130.20,127.81
3021,130.21,127.88
3022,130.22,127.95
3023,130.23,128.02
3024,130.24,128.09
3025,130.25,128.16
3026,130.26,128.23
3027,130.27,128.31
3028,130.28,128.38
3029,130.29,128.45
3030,130.30,128.52
3031,130.31,128.59
3032,130.32,128.66
3033,130.33,128.74
3034,130.34,128.81
3035,130.35,128.88
3036,130.36,128.95
3037,130.37,129.02
3038,130.38,129.10
3039,130.39,129.17
3040,130.40,129.24
3041,130.41,129.31
3042,130.42,129.38
3043,130.43,129.45
3044,130.44,129.53
3045,130.45,129.60
3046,130.46,129.67
3047,130.47,129.74
3048,130.48,129.81
3049,130.49,129.89
3050,130.50,129.96
3051,130.51,130.03
3052,130.52,130.10
3053,130.53,130.17
3054,130.54,130.25
3055,130.55,130.32
3056,130.56,130.39
3057,130.57,130.46
3058,130.58,130.54
3059,130.59,130.61
3060,130.60,130.68
3061,130.61,130.75
3062,130.62,130.82
3063,130.63,130.90
3064,130.64,130.97
3065,130.65,131.04
3066,130.66,131.11
3067,130.67,131.19
3068,130.68,131.26
3069,130.69,131.33
3070,130.70,131.40
3071,130.71,131.48
3072,130.72,131.55
3073,130.73,131.62
3074,130.74,131.69
3075,130.75,131.77
3076,130.76,131.84
3077,130.77,131.91
3078,130.78,131.98
3079,130.79,132.06
3080,130.80,132.13
3081,130.81,132.20
3082,130.82,132.27
3083,130.83,132.35
3084,130.84,132.42
3085,130.85,132.49
3086,130.86,132.57
3087,130.87,132.64
3088,130.88,132.71
3089,130.89,132.78
3090,130.90,132.86
3091,130.91,132.93
3092,130.92,133.00
3093,130.93,133.08
3094,130.94,133.15
3095,130.95,133.22
3096,130.96,133.29
3097,130.97,133.37
3098,130.98,133.44
3099,130.99,133.51
3100,131.00,133.59
3101,131.01,133.66
3102,131.02,133.73
3103,131.03,133.81
3104,131.04,133.88
3105,131.05,133.95
3106,131.06,134.02
3107,131.07,134.10
3108,131.08,134.17
3109,131.09,134.24
3110,131.10,134.32
3111,131.11,134.39
3112,131.12,134.46
3113,131.13,134.54
3114,131.14,134.61
3115,131.15,134.68
3116,131.16,134.76
3117,131.17,134.83
3118,131.18,134.90
3119,131.19,134.98
3120,131.20,135.05
3121,131.21,135.12
3122,131.22,135.20
3123,131.23,135.27
3124,131.24,135.34
3125,131.25,135.42
3126,131.26,135.49
3127,131.27,135.57
3128,131.28,135.64
3129,131.29,135.71
3130,131.30,135.79
3131,131.31,135.86
3132,131.32,135.93
3133,131.33,136.01
3134,131.34,136.08
3135,131.35,136.15
3136,131.36,136.23
3137,131.37,136.30
3138,131.38,136.38
3139,131.39,136.45
3140,131.40,136.52
3141,131.41,136.60
3142,131.42,136.67
3143,131.43,136.74
3144,131.44,136.82
3145,131.45,136.89
3146,131.46,136.97
3147,131.47,137.04
3148,131.48,137.11
3149,131.49,137.19
3150,131.50,137.26
3151,131.51,137.34
3152,131.52,137.41
3153,131.53,137.48
3154,131.54,137.56
3155,131.55,137.63
3156,131.56,137.71
3157,131.57,137.78
3158,131.58,137.86
3159,131.59,137.93
3160,131.60,138.00
3161,131.61,138.08
3162,131.62,138.15
3163,131.63,138.23
3164,131.64,138.30
3165,131.65,138.38
3166,131.66,138.45
3167,131.67,138.52
3168,131.68,138.60
3169,131.69,138.67
3170,131.70,138.75
3171,131.71,138.82
3172,131.72,138.90
3173,131.73,138.97
3174,131.74,139.05
3175,131.75,139.12
3176,131.76,139.19
3177,131.77,139.27
3178,131.78,139.34
3179,131.79,139.42
3180,131.80,139.49
3181,131.81,139.57
3182,131.82,139.64
3183,131.83,139.72
3184,131.84,139.79
3185,131.85,139.87
3186,131.86,139.94
3187,131.87,140.02
3188,131.88,140.09
3189,131.89,140.17
3190,131.90,140.24
3191,131.91,140.31
3192,131.92,140.39
3193,131.93,140.46
3194,131.94,140.54
3195,131.95,140.61
3196,131.96,140.69
3197,131.97,140.76
3198,131.98,140.84
3199,131.99,140.91
3200,132.00,140.99
3201,132.01,141.06
3202,132.02,141.14
3203,132.03,141.21
3204,132.04,141.29
3205,132.05,141.36
3206,132.06,141.44
3207,132.07,141.52
3208,132.08,141.59
3209,132.09,141.67
3210,132.10,141.74
3211,132.11,141.82
3212,132.12,141.89
3213,132.13,141.97
3214,132.14,142.04
3215,132.15,142.12
3216,132.16,142.19
3217,132.17,142.27
3218,132.18,142.34
3219,132.19,142.42
3220,132.20,142.49
3221,132.21,142.57
3222,132.22,142.65
3223,132.23,142.72
3224,132.24,142.80
3225,132.25,142.87
3226,132.26,142.95
3227,132.27,143.02
3228,132.28,143.10
3229,132.29,143.17
3230,132.30,143.25
3231,132.31,143.33
3232,132.32,143.40
3233,132.33,143.48
3234,132.34,143.55
3235,132.35,143.63
3236,132.36,143.70
3237,132.37,143.78
3238,132.38,143.86
3239,132.39,143.93
3240,132.40,144.01
3241,132.41,144.08
3242,132.42,144.16
3243,132.43,144.24
3244,132.44,144.31
3245,132.45,144.39
3246,132.46,144.46
3247,132.47,144.54
3248,132.48,144.61
3249,132.49,144.69
3250,132.50,144.77
3251,132.51,144.84
3252,132.52,144.92
3253,132.53,145.00
3254,132.54,145.07
3255,132.55,145.15
3256,132.56,145.22
3257,132.57,145.30
3258,132.58,145.38
3259,132.59,145.45
3260,132.60,145.53
3261,132.61,145.61
3262,132.62,145.68
3263,132.63,145.76
3264,132.64,145.83
3265,132.65,145.91
3266,132.66,145.99
3267,132.67,146.06
3268,132.68,146.14
3269,132.69,146.22
3270,132.70,146.29
3271,132.71,146.37
3272,132.72,146.45
3273,132.73,146.52
3274,132.74,146.60
3275,132.75,146.68
3276,132.76,146.75
3277,132.77,146.83
3278,132.78,146.91
3279,132.79,146.98
3280,132.80,147.06
3281,132.81,147.14
3282,132.82,147.21
3283,132.83,147.29
3284,132.84,147.37
3285,132.85,147.44
3286,132.86,147.52
3287,132.87,147.60
3288,132.88,147.67
3289,132.89,147.75
3290,132.90,147.83
3291,132.91,147.90
3292,132.92,147.98
3293,132.93,148.06
3294,132.94,148.13
3295,132.95,148.21
3296,132.96,148.29
3297,132.97,148.37
3298,132.98,148.44
3299,132.99,148.52
3300,133.00,148.60
3301,133.01,148.67
3302,133.02,148.75
3303,133.03,148.83
3304,133.04,148.91
3305,133.05,148.98
3306,133.06,149.06
3307,133.07,149.14
3308,133.08,149.21
3309,133.09,149.29
3310,133.10,149.37
3311,133.11,149.45
3312,133.12,149.52
3313,133.13,149.60
3314,133.14,149.68
3315,133.15,149.76
3316,133.16,149.83
3317,133.17,149.91
3318,133.18,149.99
3319,133.19,150.07
3320,133.20,150.14
3321,133.21,150.22
3322,133.22,150.30
3323,133.23,150.38
3324,133.24,150.45
3325,133.25,150.53
3326,133.26,150.61
3327,133.27,150.69
3328,133.28,150.76
3329,133.29,150.84
3330,133.30,150.92
3331,133.31,151.00
3332,133.32,151.08
3333,133.33,151.15
3334,133.34,151.23
3335,133.35,151.31
3336,133.36,151.39
3337,133.37,151.46
3338,133.38,151.54
3339,133.39,151.62
3340,133.40,151.70
3341,133.41,151.78
3342,133.42,151.85
3343,133.43,151.93
3344,133.44,152.01
3345,133.45,152.09
3346,133.46,152.17
3347,133.47,152.24
3348,133.48,152.32
3349,133.49,152.40
3350,133.50,152.48
3351,133.51,152.56
3352,133.52,152.64
3353,133.53,152.71
3354,133.54,152.79
3355,133.55,152.87
3356,133.56,152.95
3357,133.57,153.03
3358,133.58,153.11
3359,133.59,153.18
3360,133.60,153.26
3361,133.61,153.34
3362,133.62,153.42
3363,133.63,153.50
3364,133.64,153.58
3365,133.65,153.65
3366,133.66,153.73
3367,133.67,153.81
3368,133.68,153.89
3369,133.69,153.97
3370,133.70,154.05
3371,133.71,154.13
3372,133.72,154.20
3373,133.73,154.28
3374,133.74,154.36
3375,133.75,154.44
3376,133.76,154.52
3377,133.77,154.60
3378,133.78,154.68
3379,133.79,154.76
3380,133.80,154.83
3381,133.81,154.91
3382,133.82,154.99
3383,133.83,155.07
3384,133.84,155.15
3385,133.85,155.23
3386,133.86,155.31
3387,133.87,155.39
3388,133.88,155.47
3389,133.89,155.54
3390,133.90,155.62
3391,133.91,155.70
3392,133.92,155.78
3393,133.93,155.86
3394,133.94,155.94
3395,133.95,156.02
3396,133.96,156.10
3397,133.97,156.18
3398,133.98,156.26
3399,133.99,156.34
3400,134.00,156.41
3401,134.01,156.49
3402,134.02,156.57
3403,134.03,156.65
3404,134.04,156.73
3405,134.05,156.81
3406,134.06,156.89
3407,134.07,156.97
3408,134.08,157.05
3409,134.09,157.13
3410,134.10,157.21
3411,134.11,157.29
3412,134.12,157.37
3413,134.13,157.45
3414,134.14,157.53
3415,134.15,157.61
3416,134.16,157.69
3417,134.17,157.77
3418,134.18,157.84
3419,134.19,157.92
3420,134.20,158.00
3421,134.21,158.08
3422,134.22,158.16
3423,134.23,158.24
3424,134.24,158.32
3425,134.25,158.40
3426,134.26,158.48
3427,134.27,158.56
3428,134.28,158.64
3429,134.29,158.72
3430,134.30,158.80
3431,134.31,158.88
3432,134.32,158.96
3433,134.33,159.04
3434,134.34,159.12
3435,134.35,159.20
3436,134.36,159.28
3437,134.37,159.36
3438,134.38,159.44
3439,134.39,159.52
3440,134.40,159.60
3441,134.41,159.68
3442,134.42,159.76
3443,134.43,159.84
3444,134.44,159.92
3445,134.45,160.00
3446,134.46,160.08
3447,134.47,160.16
3448,134.48,160.24
3449,134.49,160.32
3450,134.50,160.40
3451,134.51,160.49
3452,134.52,160.57
3453,134.53,160.65
3454,134.54,160.73
3455,134.55,160.81
3456,134.56,160.89
3457,134.57,160.97
3458,134.58,161.05
3459,134.59,161.13
3460,134.60,161.21
3461,134.61,161.29
3462,134.62,161.37
3463,134.63,161.45
3464,134.64,161.53
3465,134.65,161.61
3466,134.66,161.69
3467,134.67,161.77
3468,134.68,161.85
3469,134.69,161.94
3470,134.70,162.02
3471,134.71,162.10
3472,134.72,162.18
3473,134.73,162.26
3474,134.74,162.34
3475,134.75,162.42
3476,134.76,162.50
3477,134.77,162.58
3478,134.78,162.66
3479,134.79,162.74
3480,134.80,162.83
3481,134.81,162.91
3482,134.82,162.99
3483,134.83,163.07
3484,134.84,163.15
3485,134.85,163.23
3486,134.86,163.31
3487,134.87,163.39
3488,134.88,163.47
3489,134.89,163.56
3490,134.90,163.64
3491,134.91,163.72
3492,134.92,163.80
3493,134.93,163.88
3494,134.94,163.96
3495,134.95,164.04
3496,134.96,164.12
3497,134.97,164.21
3498,134.98,164.29
3499,134.99,164.37
3500,135.00,164.45
3501,135.01,164.53
3502,135.02,164.61
3503,135.03,164.69
3504,135.04,164.78
3505,135.05,164.86
3506,135.06,164.94
3507,135.07,165.02
3508,135.08,165.10
3509,135.09,165.18
3510,135.10,165.27
3511,135.11,165.35
3512,135.12,165.43
3513,135.13,165.51
3514,135.14,165.59
3515,135.15,165.67
3516,135.16,165.76
3517,135.17,165.84
3518,135.18,165.92
3519,135.19,166.00
3520,135.20,166.08
3521,135.21,166.17
3522,135.22,166.25
3523,135.23,166.33
3524,135.24,166.41
3525,135.25,166.49
3526,135.26,166.58
3527,135.27,166.66
3528,135.28,166.74
3529,135.29,166.82
3530,135.30,166.90
3531,135.31,166.99
3532,135.32,167.07
3533,135.33,167.15
3534,135.34,167.23
3535,135.35,167.31
3536,135.36,167.40
3537,135.37,167.48
3538,135.38,167.56
3539,135.39,167.64
3540,135.40,167.73
3541,135.41,167.81
3542,135.42,167.89
3543,135.43,167.97
3544,135.44,168.06
3545,135.45,168.14
3546,135.46,168.22
3547,135.47,168.30
3548,135.48,168.39
3549,135.49,168.47
3550,135.50,168.55
3551,135.51,168.63
3552,135.52,168.72
3553,135.53,168.80
3554,135.54,168.88
3555,135.55,168.96
3556,135.56,169.05
3557,135.57,169.13
3558,135.58,169.21
3559,135.59,169.30
3560,135.60,169.38
3561,135.61,169.46
3562,135.62,169.54
3563,135.63,169.63
3564,135.64,169.71
3565,135.65,169.79
3566,135.66,169.88
3567,135.67,169.96
3568,135.68,170.04
3569,135.69,170.12
3570,135.70,170.21
3571,135.71,170.29
3572,135.72,170.37
3573,135.73,170.46
3574,135.74,170.54
3575,135.75,170.62
3576,135.76,170.71
3577,135.77,170.79
3578,135.78,170.87
3579,135.79,170.96
3580,135.80,171.04
3581,135.81,171.12
3582,135.82,171.20
3583,135.83,171.29
3584,135.84,171.37
3585,135.85,171.45
3586,135.86,171.54
3587,135.87,171.62
3588,135.88,171.71
3589,135.89,171.79
3590,135.90,171.87
3591,135.91,171.96
3592,135.92,172.04
3593,135.93,172.12
3594,135.94,172.21
3595,135.95,172.29
3596,135.96,172.37
3597,135.97,172.46
3598,135.98,172.54
3599,135.99,172.62
3600,136.00,172.71
3601,136.01,172.79
3602,136.02,172.88
3603,136.03,172.96
3604,136.04,173.04
3605,136.05,173.13
3606,136.06,173.21
3607,136.07,173.29
3608,136.08,173.38
3609,136.09,173.46
3610,136.10,173.55
3611,136.11,173.63
3612,136.12,173.71
3613,136.13,173.80
3614,136.14,173.88
3615,136.15,173.97
3616,136.16,174.05
3617,136.17,174.13
3618,136.18,174.22
3619,136.19,174.30
3620,136.20,174.39
3621,136.21,174.47
3622,136.22,174.55
3623,136.23,174.64
3624,136.24,174.72
3625,136.25,174.81
3626,136.26,174.89
3627,136.27,174.98
3628,136.28,175.06
3629,136.29,175.14
3630,136.30,175.23
3631,136.31,175.31
3632,136.32,175.40
3633,136.33,175.48
3634,136.34,175.57
3635,136.35,175.65
3636,136.36,175.74
3637,136.37,175.82
3638,136.38,175.90
3639,136.39,175.99
3640,136.40,176.07
3641,136.41,176.16
3642,136.42,176.24
3643,136.43,176.33
3644,136.44,176.41
3645,136.45,176.50
3646,136.46,176.58
3647,136.47,176.67
3648,136.48,176.75
3649,136.49,176.84
3650,136.50,176.92
3651,136.51,177.01
3652,136.52,177.09
3653,136.53,177.17
3654,136.54,177.26
3655,136.55,177.34
3656,136.56,177.43
3657,136.57,177.51
3658,136.58,177.60
3659,136.59,177.68
3660,136.60,177.77
3661,136.61,177.85
3662,136.62,177.94
3663,136.63,178.02
3664,136.64,178.11
3665,136.65,178.20
3666,136.66,178.28
3667,136.67,178.37
3668,136.68,178.45
3669,136.69,178.54
3670,136.70,178.62
3671,136.71,178.71
3672,136.72,178.79
3673,136.73,178.88
3674,136.74,178.96
3675,136.75,179.05
3676,136.76,179.13
3677,136.77,179.22
3678,136.78,179.30
3679,136.79,179.39
3680,136.80,179.47
3681,136.81,179.56
3682,136.82,179.65
3683,136.83,179.73
3684,136.84,179.82
3685,136.85,179.90
3686,136.86,179.99
3687,136.87,180.07
3688,136.88,180.16
3689,136.89,180.25
3690,136.90,180.33
3691,136.91,180.42
3692,136.92,180.50
3693,136.93,180.59
3694,136.94,180.67
3695,136.95,180.76
3696,136.96,180.85
3697,136.97,180.93
3698,136.98,181.02
3699,136.99,181.10
3700,137.00,181.19
3701,137.01,181.27
3702,137.02,181.36
3703,137.03,181.45
3704,137.04,181.53
3705,137.05,181.62
3706,137.06,181.70
3707,137.07,181.79
3708,137.08,181.88
3709,137.09,181.96
3710,137.10,182.05
3711,137.11,182.14
3712,137.12,182.22
3713,137.13,182.31
3714,137.14,182.39
3715,137.15,182.48
3716,137.16,182.57
3717,137.17,182.65
3718,137.18,182.74
3719,137.19,182.83
3720,137.20,182.91
3721,137.21,183.00
3722,137.22,183.08
3723,137.23,183.17
3724,137.24,183.26
3725,137.25,183.34
3726,137.26,183.43
3727,137.27,183.52
3728,137.28,183.60
3729,137.29,183.69
3730,137.30,183.78
3731,137.31,183.86
3732,137.32,183.95
3733,137.33,184.04
3734,137.34,184.12
3735,137.35,184.21
3736,137.36,184.30
3737,137.37,184.38
3738,137.38,184.47
3739,137.39,184.56
3740,137.40,184.64
3741,137.41,184.73
3742,137.42,184.82
3743,137.43,184.90
3744,137.44,184.99
3745,137.45,185.08
3746,137.46,185.17
3747,137.47,185.25
3748,137.48,185.34
3749,137.49,185.43
3750,137.50,185.51
3751,137.51,185.60
3752,137.52,185.69
3753,137.53,185.77
3754,137.54,185.86
3755,137.55,185.95
3756,137.56,186.04
3757,137.57,186.12
3758,137.58,186.21
3759,137.59,186.30
3760,137.60,186.38
3761,137.61,186.47
3762,137.62,186.56
3763,137.63,186.65
3764,137.64,186.73
3765,137.65,186.82
3766,137.66,186.91
3767,137.67,187.00
3768,137.68,187.08
3769,137.69,187.17
3770,137.70,187.26
3771,137.71,187.35
3772,137.72,187.43
3773,137.73,187.52
3774,137.74,187.61
3775,137.75,187.70
3776,137.76,187.78
3777,137.77,187.87
3778,137.78,187.96
3779,137.79,188.05
3780,137.80,188.13
3781,137.81,188.22
3782,137.82,188.31
3783,137.83,188.40
3784,137.84,188.49
3785,137.85,188.57
3786,137.86,188.66
3787,137.87,188.75
3788,137.88,188.84
3789,137.89,188.92
3790,137.90,189.01
3791,137.91,189.10
3792,137.92,189.19
3793,137.93,189.28
3794,137.94,189.36
3795,137.95,189.45
3796,137.96,189.54
3797,137.97,189.63
3798,137.98,189.72
3799,137.99,189.81
3800,138.00,189.89
3801,138.01,189.98
3802,138.02,190.07
3803,138.03,190.16
3804,138.04,190.25
3805,138.05,190.33
3806,138.06,190.42
3807,138.07,190.51
3808,138.08,190.60
3809,138.09,190.69
3810,138.10,190.78
3811,138.11,190.86
3812,138.12,190.95
3813,138.13,191.04
3814,138.14,191.13
3815,138.15,191.22
3816,138.16,191.31
3817,138.17,191.40
3818,138.18,191.48
3819,138.19,191.57
3820,138.20,191.66
3821,138.21,191.75
3822,138.22,191.84
3823,138.23,191.93
3824,138.24,192.02
3825,138.25,192.10
3826,138.26,192.19
3827,138.27,192.28
3828,138.28,192.37
3829,138.29,192.46
3830,138.30,192.55
3831,138.31,192.64
3832,138.32,192.73
3833,138.33,192.81
3834,138.34,192.90
3835,138.35,192.99
3836,138.36,193.08
3837,138.37,193.17
3838,138.38,193.26
3839,138.39,193.35
3840,138.40,193.44
3841,138.41,193.53
3842,138.42,193.62
3843,138.43,193.70
3844,138.44,193.79
3845,138.45,193.88
3846,138.46,193.97
3847,138.47,194.06
3848,138.48,194.15
3849,138.49,194.24
3850,138.50,194.33
3851,138.51,194.42
3852,138.52,194.51
3853,138.53,194.60
3854,138.54,194.69
3855,138.55,194.78
3856,138.56,194.86
3857,138.57,194.95
3858,138.58,195.04
3859,138.59,195.13
3860,138.60,195.22
3861,138.61,195.31
3862,138.62,195.40
3863,138.63,195.49
3864,138.64,195.58
3865,138.65,195.67
3866,138.66,195.76
3867,138.67,195.85
3868,138.68,195.94
3869,138.69,196.03
3870,138.70,196.12
3871,138.71,196.21
3872,138.72,196.30
3873,138.73,196.39
3874,138.74,196.48
3875,138.75,196.57
3876,138.76,196.66
3877,138.77,196.75
3878,138.78,196.84
3879,138.79,196.93
3880,138.80,197.02
3881,138.81,197.11
3882,138.82,197.20
3883,138.83,197.29
3884,138.84,197.38
3885,138.85,197.47
3886,138.86,197.56
3887,138.87,197.65
3888,138.88,197.74
3889,138.89,197.83
3890,138.90,197.92
3891,138.91,198.01
3892,138.92,198.10
3893,138.93,198.19
3894,138.94,198.28
3895,138.95,198.37
3896,138.96,198.46
3897,138.97,198.55
3898,138.98,198.64
3899,138.99,198.73
3900,139.00,198.82
3901,139.01,198.91
3902,139.02,199.00
3903,139.03,199.09
3904,139.04,199.18
3905,139.05,199.27
3906,139.06,199.36
3907,139.07,199.45
3908,139.08,199.54
3909,139.09,199.63
3910,139.10,199.73
3911,139.11,199.82
3912,139.12,199.91
3913,139.13,200.00
3914,139.14,200.09
3915,139.15,200.18
3916,139.16,200.27
3917,139.17,200.36
3918,139.18,200.45
3919,139.19,200.54
3920,139.20,200.63
3921,139.21,200.72
3922,139.22,200.81
3923,139.23,200.91
3924,139.24,201.00
3925,139.25,201.09
3926,139.26,201.18
3927,139.27,201.27
3928,139.28,201.36
3929,139.29,201.45
3930,139.30,201.54
3931,139.31,201.63
3932,139.32,201.72
3933,139.33,201.82
3934,139.34,201.91
3935,139.35,202.00
3936,139.36,202.09
3937,139.37,202.18
3938,139.38,202.27
3939,139.39,202.36
3940,139.40,202.45
3941,139.41,202.54
3942,139.42,202.64
3943,139.43,202.73
3944,139.44,202.82
3945,139.45,202.91
3946,139.46,203.00
3947,139.47,203.09
3948,139.48,203.18
3949,139.49,203.28
3950,139.50,203.37
3951,139.51,203.46
3952,139.52,203.55
3953,139.53,203.64
3954,139.54,203.73
3955,139.55,203.83
3956,139.56,203.92
3957,139.57,204.01
3958,139.58,204.10
3959,139.59,204.19
3960,139.60,204.28
3961,139.61,204.38
3962,139.62,204.47
3963,139.63,204.56
3964,139.64,204.65
3965,139.65,204.74
3966,139.66,204.83
3967,139.67,204.93
3968,139.68,205.02
3969,139.69,205.11
