Matram,tentram,TAB
553800,Kim Long,mua_oday_thuyvan
553900,Binh Dien,mua_oday_thuyvan
554000,Phu Oc,mua_oday_thuyvan
554100,Phong Dien,mua_oday_thuyvan
554200,Cau Truoi,mua_oday_thuyvan
554300,Thuong Nhat,mua_oday_thuyvan
554400,Co Bi,mua_oday_thuyvan
557000,Nam Dong,mua_oday_khituong
557100,A Luoi,mua_oday_khituong
558800,Ta Luong,mua_oday_domua
558900,Bach Ma,mua_oday_domua
561800,Hue,mua_oday_khituong
